Rank,Country name,Ladder score,upperwhisker,lowerwhisker,Dystopia + residual,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Ladder score in Dystopia
49,Mauritius,6.101299763,6.213463783,5.989135742,2.006720543,1.07366395,1.395666838,0.7633894086,0.5908381343,0.1868945509,0.08408822864,1.972316742
50,Kazakhstan,6.057899952,6.1426301,5.973169804,2.021602631,1.122594237,1.453267694,0.6987889409,0.4974321425,0.1537137926,0.1104636863,1.972316742
51,Estonia,6.021800041,6.092330933,5.95126915,1.629928112,1.192441225,1.453232527,0.8426150084,0.5766648054,0.125136748,0.2017668188,1.972316742
52,Philippines,6.006000042,6.103722572,5.908277512,2.501741886,0.7751206756,1.245381713,0.6021894813,0.6219151616,0.1292602122,0.1303857267,1.972316742
53,Hungary,6.000400066,6.077767372,5.923032761,2.121845722,1.164307117,1.423009396,0.8067938685,0.3864018023,0.07049123943,0.02754817344,1.972316742
54,Thailand,5.998799801,6.082288742,5.91531086,1.832384109,1.007029295,1.347519517,0.7938558459,0.6094498038,0.3767090142,0.03183786198,1.972316742
55,Argentina,5.974699974,6.079445839,5.869954109,2.072540998,1.028465629,1.372543693,0.849773705,0.5208403468,0.07010047138,0.06041505933,1.972316742
56,Honduras,5.953199863,6.082033634,5.824366093,2.464295387,0.5987635851,1.186664104,0.7919899821,0.5681480765,0.2565281987,0.08680710196,1.972316742
57,Latvia,5.949999809,6.018282413,5.881717205,2.121283054,1.14139545,1.414398789,0.7779024243,0.3291988075,0.07540794462,0.09039152414,1.972316742
58,Ecuador,5.925199986,6.028846264,5.821553707,2.254933834,0.8533836007,1.221027613,0.8388377428,0.5552345514,0.1150064766,0.08675338328,1.972316742
59,Portugal,5.910900116,6.015089989,5.806710243,1.752558708,1.168800831,1.339530349,0.9793152809,0.5898951888,0.0530369468,0.02773346566,1.972316742
60,Jamaica,5.889800072,6.126157284,5.65344286,2.214436531,0.7790583968,1.408289194,0.7884340882,0.5531246066,0.1162684932,0.03014778532,1.972316742
61,South Korea,5.872399807,5.958806515,5.785993099,1.946757078,1.245300651,1.133560538,1.022542596,0.2593563497,0.1703038663,0.09459628165,1.972316742
62,Japan,5.870800018,5.951927662,5.789672375,1.486200333,1.26672411,1.332338691,1.072881341,0.4954658747,0.03571178019,0.1814396381,1.972316742
63,Peru,5.796800137,5.916970253,5.67663002,2.213499546,0.91854918,1.208405972,0.8244441748,0.5132100582,0.09161181748,0.02703266032,1.972316742
64,Serbia,5.77820015,5.877596378,5.678803921,2.029040098,0.9881818295,1.327448964,0.8284032941,0.3954284191,0.1502828896,0.05944714695,1.972316742
65,Bolivia,5.747499943,5.846765041,5.648234844,2.425928593,0.7309763432,1.142350554,0.6624456644,0.5744645,0.1383750737,0.07294263691,1.972316742
66,Pakistan,5.69329977,5.78780365,5.598795891,2.976876736,0.6167994738,0.8729795814,0.4699332416,0.4054217339,0.2287050635,0.1225921214,1.972316742
67,Paraguay,5.692100048,5.793937683,5.590262413,1.83412528,0.8979908228,1.36819756,0.7358696461,0.5865100622,0.2042992413,0.06507737935,1.972316742
68,Dominican Republic,5.689199924,5.826069355,5.552330494,1.844246864,0.9831918478,1.328888893,0.7419016957,0.5628738999,0.1121967807,0.1159456819,1.972316742
69,Bosnia and Herzegovina,5.674099922,5.765016556,5.583183289,2.16724205,0.9183954597,1.203986526,0.8139281869,0.3053657413,0.2640052438,0.001172487042,1.972316742
70,Moldova,5.607500076,5.690360069,5.524640083,2.370968342,0.7079167962,1.237312198,0.7132994533,0.3895714879,0.1740491837,0.01437874418,1.972316742
71,Tajikistan,5.555699825,5.619050026,5.492349625,2.25650835,0.4748746157,1.218377709,0.6805948019,0.5211411715,0.1824171245,0.2217799127,1.972316742
72,Montenegro,5.54610014,5.642112255,5.450088024,1.880565882,1.010150075,1.265657902,0.8390288949,0.3032238483,0.1490103304,0.09843511134,1.972316742
73,Russia,5.546000004,5.623634815,5.468365192,1.815716743,1.126999617,1.378644109,0.6804459095,0.3994995952,0.09904191643,0.04569936171,1.972316742
74,Kyrgyzstan,5.541500092,5.627108097,5.455892086,2.060206652,0.5131809711,1.341036677,0.6806458831,0.6146177649,0.3013707399,0.03046669066,1.972316742
75,Belarus,5.539899826,5.612537384,5.467262268,1.8069911,1.018854499,1.38713932,0.7525885701,0.290755868,0.08993306011,0.1936074346,1.972316742
76,North Cyprus,5.53550005,5.635532856,5.435467243,1.23668766,1.21279943,1.183089137,1.026124597,0.4778857231,0.1991600543,0.1998029053,1.972316742
77,Greece,5.514999866,5.606986046,5.423013687,2.016179085,1.128070116,1.168973565,0.9794317484,0.173516348,0,0.04884435236,1.972316742
78,Hong Kong S.A.R. of China,5.510399818,5.600596905,5.420202732,0.6732931137,1.376746058,1.243584275,1.136630654,0.4593565166,0.2882809043,0.3324854374,1.972316742
79,Croatia,5.504700184,5.578756332,5.430644035,1.676029205,1.109024286,1.311264873,0.9005755782,0.3814568818,0.1139989793,0.01232500561,1.972316742
80,Libya,5.488800049,5.607727528,5.36987257,1.888563156,1.021913767,1.196283698,0.6156266332,0.4513540566,0.1427576989,0.1722580791,1.972316742
81,Mongolia,5.456200123,5.535213947,5.377186298,1.810527563,0.9048727751,1.458930612,0.6157881618,0.3557031155,0.2638857365,0.04653312638,1.972316742
82,Malaysia,5.384300232,5.479953289,5.288647175,1.319420815,1.168421626,1.17400229,0.7885118723,0.5969415307,0.2748861611,0.06216313317,1.972316742
83,Vietnam,5.353499889,5.41974926,5.287250519,1.685977936,0.718092382,1.253074765,0.819133997,0.6508355737,0.1364887208,0.08984845877,1.972316742
84,Indonesia,5.285600185,5.379077435,5.192122936,1.479573488,0.8917207122,1.154800892,0.6104370356,0.568161428,0.5426465273,0.03827861324,1.972316742
85,Ivory Coast,5.233300209,5.376567364,5.090033054,3.081022501,0.5370944142,0.7997272611,0.1549425125,0.3971225321,0.1699155867,0.09349579364,1.972316742
86,Benin,5.21600008,5.368408203,5.063591957,3.440809727,0.3662447035,0.3524284363,0.3280629516,0.4058398902,0.1966704279,0.1259318739,1.972316742
87,Maldives,5.197599888,5.338691235,5.056508541,1.098674774,0.9378643036,1.402287602,0.914439559,0.5482036471,0.224198252,0.07190649211,1.972316742
88,Congo (Brazzaville),5.194399834,5.345376492,5.043423176,2.722619534,0.6336167455,0.7576360106,0.4581011236,0.3865143955,0.1172160134,0.1186707839,1.972316742
89,Azerbaijan,5.164800167,5.231826782,5.097773552,1.507632971,0.9902727008,1.180613041,0.731134057,0.4677347243,0.0401132144,0.2473071814,1.972316742
90,Macedonia,5.159800053,5.251452446,5.068147659,1.617594957,0.935371995,1.183173537,0.802994132,0.4102245867,0.1858635396,0.02459505945,1.972316742
91,Ghana,5.147999763,5.262923717,5.033075809,2.378437281,0.5758624673,0.96636796,0.432162255,0.4772900641,0.2612912059,0.05657038093,1.972316742
92,Nepal,5.137199879,5.250276566,5.024123192,2.014386892,0.4440503716,1.100789309,0.6688793898,0.4806082547,0.300971806,0.1275029629,1.972316742
93,Turkey,5.131800175,5.20988369,5.05371666,1.564816713,1.127169251,1.197159171,0.7813352942,0.2544007599,0.08588556945,0.120983243,1.972316742
94,China,5.123899937,5.174667358,5.073132515,1.336181879,0.9905334115,1.132080674,0.8672485352,0.6016051173,0.07902104408,0.1172555536,1.972316742
95,Turkmenistan,5.119100094,5.17668438,5.061515808,1.115337372,1.008963585,1.510476947,0.6124480367,0.5152366757,0.3231293261,0.03350389004,1.972316742
96,Bulgaria,5.101500034,5.188173294,5.014826775,1.294961452,1.046554685,1.460578918,0.777776897,0.4178200662,0.1038337126,0,1.972316742
