,Country,Happiness score,Whisker-high,Whisker-low,Dystopia (2.33) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia
45,Slovakia,6.078,6.160,5.996,2.610646963,1.279725552,1.082675695,0.7036705017,0.233906135,0.1383716613,0.02947319299,2.33
46,El Salvador,6.068,6.169,5.967,3.221339464,0.87369591,0.8097509742,0.5960039496,0.3726858795,0.08877384663,0.1061256081,2.33
47,Malaysia,6.005,6.089,5.921,2.353841066,1.251420617,0.8802458048,0.6236553192,0.3903080523,0.4147358537,0.09081339836,2.33
48,Nicaragua,5.992,6.107,5.877,2.824278116,0.6938384175,0.8952095509,0.652131021,0.4658235908,0.2977322638,0.1629166454,2.33
49,Uzbekistan,5.987,6.078,5.896,2.346381187,0.7359129786,1.168096423,0.50163275,0.6084825397,0.3432642519,0.2833272517,2.33
50,Italy,5.977,6.056,5.898,2.349183321,1.354946852,1.041667461,0.8510178924,0.1882666349,0.1668388247,0.02555648983,2.33
51,Ecuador,5.976,6.072,5.880,2.773657322,0.9730648994,0.8597406745,0.6861296892,0.4026999772,0.1007360518,0.1803716719,2.33
52,Belize,5.956,6.202,5.710,3.080386639,0.8761627078,0.6865458488,0.4556876719,0.5123116374,0.2368406206,0.1077113003,2.33
53,Japan,5.921,5.992,5.850,1.805840492,1.38007319,1.060541987,0.9149106145,0.4676066041,0.1022433341,0.1898534745,2.33
54,Kazakhstan,5.919,6.001,5.837,2.493252516,1.229428291,0.9554359317,0.5738577247,0.4052021801,0.1501096785,0.1113162115,2.33
55,Moldova,5.897,5.971,5.823,3.380071402,0.6917694211,0.8313174248,0.5230854154,0.2520246208,0.199973464,0.01903077774,2.33
56,Russia,5.856,5.923,5.789,2.591154575,1.232281923,1.052608132,0.5899056792,0.3268172145,0.02736127004,0.03585680202,2.33
57,Poland,5.835,5.921,5.749,2.200353146,1.245846987,1.04684782,0.6905810237,0.4519023895,0.1444347352,0.0549958162,2.33
58,South Korea,5.835,5.923,5.747,2.350147247,1.359476805,0.7219352722,0.8864485025,0.2516808808,0.1882361621,0.07715626806,2.33
59,Bolivia,5.822,5.904,5.740,2.916349411,0.79421556,0.8377884626,0.469702065,0.5096078515,0.2169784009,0.077457048,2.33
60,Lithuania,5.813,5.892,5.734,2.605252981,1.269200087,1.064109921,0.6467440128,0.1892888695,0.02024700865,0.01819651946,2.33
61,Belarus,5.802,5.881,5.723,2.38581562,1.130622387,1.049929738,0.6310362816,0.2909103632,0.1394187957,0.1745696366,2.33
62,North Cyprus,5.771,5.872,5.670,1.934473753,1.311412096,0.81825912,0.8414180279,0.4359619617,0.2632177472,0.1657832414,2.33
63,Slovenia,5.768,5.853,5.683,1.795216084,1.29946506,1.056134582,0.791508019,0.5316392183,0.2573845983,0.03634981439,2.33
64,Peru,5.743,5.839,5.647,2.731174469,0.9960178137,0.8125536442,0.6299428344,0.3750168383,0.1452705413,0.05291993916,2.33
65,Turkmenistan,5.658,5.736,5.580,2.214894772,1.080170751,1.038174391,0.4400574863,0.3740775287,0.2256651074,0.2846719921,2.33
66,Mauritius,5.648,5.789,5.507,2.202233315,1.143722653,0.7569501996,0.6618861556,0.4614471197,0.3695106208,0.05202999339,2.33
67,Libya,5.615,5.824,5.406,2.393740892,1.066875935,0.9507648349,0.5230429769,0.4067194164,0.1708683521,0.1033921018,2.33
68,Latvia,5.560,5.634,5.486,2.208589554,1.217876792,0.9502541423,0.6395242214,0.279956311,0.1744531542,0.08889526129,2.33
69,Cyprus,5.546,5.650,5.442,2.04497242,1.318565488,0.7069738507,0.8488041162,0.2950660288,0.2790597975,0.05227743462,2.33
70,Paraguay,5.538,5.623,5.453,2.160905838,0.8937298059,1.111106753,0.5829548836,0.4623516202,0.2529580593,0.07395985723,2.33
71,Romania,5.528,5.629,5.427,2.45184207,1.169700027,0.7280260324,0.6760209203,0.3671217561,0.1288931966,0.006788755767,2.33
72,Estonia,5.517,5.597,5.437,1.819848537,1.279636979,1.051626801,0.6809805036,0.4151144028,0.08422526717,0.1851904094,2.33
73,Jamaica,5.510,5.705,5.315,2.356820822,0.8933306932,0.9637185931,0.5946877003,0.4359695911,0.2224498093,0.04293964058,2.33
74,Croatia,5.488,5.574,5.402,2.524619102,1.186485887,0.608087182,0.7052406669,0.239070639,0.1843449175,0.04002460465,2.33
75,Hong Kong,5.458,5.554,5.362,0.9261441231,1.510701537,0.8702082038,0.9527732134,0.4807891846,0.4009681642,0.3164663315,2.33
76,Somalia,5.440,5.559,5.321,3.837715149,0,0.3361340761,0.1146622747,0.5677813292,0.2722466886,0.3117980361,2.33
77,Kosovo,5.401,5.494,5.308,2.809975386,0.9014519453,0.660622716,0.5400031805,0.1439637691,0.2799194455,0.06547120214,2.33
78,Turkey,5.389,5.483,5.295,2.29074049,1.164921641,0.87717098,0.6471834183,0.2388880253,0.04706870019,0.1234792024,2.33
79,Indonesia,5.314,5.391,5.237,2.031708479,0.9510406256,0.8762512803,0.4937413037,0.3923656046,0.5652139187,0.003222996835,2.33
80,Jordan,5.303,5.419,5.187,2.201416969,0.9967264533,0.8621605635,0.6071192622,0.3602299392,0.1426221281,0.1329706013,2.33
81,Azerbaijan,5.291,5.356,5.226,2.273498297,1.123732328,0.7604236603,0.5450363755,0.3532659709,0.05639630184,0.1791367233,2.33
82,Philippines,5.279,5.398,5.160,2.234841585,0.8121714592,0.8787720203,0.4703565836,0.5485381484,0.2167407721,0.1175678968,2.33
83,China,5.245,5.291,5.199,2.170866013,1.027797103,0.7938081026,0.7356149554,0.4401235878,0.04958820716,0.02745176479,2.33
84,Bhutan,5.196,5.254,5.138,1.829161882,0.8526992202,0.9083616138,0.4975917041,0.4607385993,0.4854550362,0.161598593,2.33
85,Kyrgyzstan,5.185,5.267,5.103,2.281357288,0.5604439974,0.9543383121,0.5544906259,0.4021192193,0.3843153119,0.04762134328,2.33
86,Serbia,5.177,5.271,5.083,2.27538991,1.034370899,0.813292861,0.6458012462,0.1571819782,0.2073651701,0.04339139536,2.33
87,Bosnia and Herzegovina,5.163,5.263,5.063,2.484057665,0.9338259101,0.6436693072,0.7076622248,0.09511335939,0.2988905609,0,2.33
88,Montenegro,5.161,5.267,5.055,2.255313873,1.078377247,0.7417290807,0.6353257895,0.1511066258,0.1719127148,0.1272125095,2.33
89,Dominican Republic,5.155,5.273,5.037,1.696260691,1.027870893,0.9949592948,0.5766890049,0.5225855112,0.2128571421,0.12371701,2.33
90,Morocco,5.151,5.244,5.058,2.948912144,0.8405756354,0.3859546185,0.5947147012,0.2564625442,0.04052803293,0.08404255658,2.33
91,Hungary,5.145,5.234,5.056,1.954733133,1.241419196,0.9316383004,0.6760838032,0.1977033168,0.09899893403,0.04472122341,2.33
92,Pakistan,5.132,5.226,5.038,3.182858944,0.6881636381,0.2613525689,0.4030638337,0.1462197453,0.3118460178,0.1388043612,2.33
93,Lebanon,5.129,5.227,5.031,2.073390722,1.122678638,0.6418367028,0.7617095709,0.262280792,0.2369330823,0.03060657531,2.33
94,Portugal,5.123,5.216,5.030,1.530148745,1.276074409,0.9436689019,0.793625772,0.4472651184,0.1169064119,0.01520577259,2.33
95,Macedonia,5.121,5.225,5.017,2.089467525,1.019297957,0.7823568583,0.6473792195,0.276682049,0.2350725234,0.07047084719,2.33
