,Country,Happiness score,Whisker-high,Whisker-low,Dystopia (1.85) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia
1,Norway,7.537,7.594,7.480,2.277,1.616,1.534,0.797,0.635,0.362,0.316,1.85
2,Denmark,7.522,7.582,7.462,2.314,1.482,1.551,0.793,0.626,0.355,0.401,1.85
3,Iceland,7.504,7.622,7.386,2.323,1.481,1.611,0.834,0.627,0.476,0.154,1.85
4,Switzerland,7.494,7.562,7.426,2.277,1.565,1.517,0.858,0.620,0.291,0.367,1.85
5,Finland,7.469,7.528,7.410,2.430,1.444,1.540,0.809,0.618,0.245,0.383,1.85
6,Netherlands,7.377,7.427,7.327,2.295,1.504,1.429,0.811,0.585,0.470,0.283,1.85
7,Canada,7.316,7.384,7.248,2.187,1.479,1.481,0.835,0.611,0.436,0.287,1.85
8,New Zealand,7.314,7.380,7.248,2.046,1.406,1.548,0.817,0.614,0.500,0.383,1.85
9,Sweden,7.284,7.344,7.224,2.098,1.494,1.478,0.831,0.613,0.385,0.384,1.85
10,Australia,7.284,7.357,7.211,2.065,1.484,1.510,0.844,0.602,0.478,0.301,1.85
11,Israel,7.213,7.280,7.146,2.802,1.375,1.376,0.838,0.406,0.330,0.085,1.85
12,Costa Rica,7.079,7.168,6.990,2.899,1.110,1.416,0.760,0.580,0.215,0.100,1.85
13,Austria,7.006,7.071,6.941,2.139,1.487,1.460,0.815,0.568,0.316,0.221,1.85
14,United States,6.993,7.075,6.911,2.218,1.546,1.420,0.774,0.506,0.393,0.136,1.85
15,Ireland,6.977,7.043,6.911,1.774,1.536,1.558,0.810,0.573,0.428,0.298,1.85
16,Germany,6.951,7.005,6.897,2.016,1.488,1.473,0.799,0.563,0.336,0.277,1.85
17,Belgium,6.891,6.956,6.826,2.124,1.464,1.462,0.818,0.540,0.232,0.251,1.85
18,Luxembourg,6.863,6.924,6.802,1.620,1.742,1.458,0.845,0.597,0.283,0.319,1.85
19,United Kingdom,6.714,6.784,6.644,1.704,1.442,1.496,0.805,0.508,0.493,0.265,1.85
20,Chile,6.652,6.739,6.565,2.510,1.253,1.284,0.819,0.377,0.327,0.082,1.85
21,United Arab Emirates,6.648,6.722,6.574,1.735,1.626,1.266,0.727,0.608,0.361,0.324,1.85
22,Brazil,6.635,6.725,6.545,2.769,1.107,1.431,0.617,0.437,0.162,0.111,1.85
23,Czech Republic,6.609,6.684,6.534,2.452,1.353,1.434,0.754,0.491,0.088,0.037,1.85
24,Argentina,6.599,6.690,6.508,2.614,1.185,1.440,0.695,0.495,0.109,0.060,1.85
25,Mexico,6.578,6.671,6.485,2.837,1.153,1.211,0.710,0.413,0.121,0.133,1.85
26,Singapore,6.572,6.637,6.507,1.216,1.692,1.354,0.949,0.550,0.346,0.464,1.85
27,Malta,6.527,6.598,6.456,1.557,1.343,1.488,0.822,0.589,0.575,0.153,1.85
28,Uruguay,6.454,6.546,6.362,2.172,1.218,1.412,0.719,0.579,0.175,0.178,1.85
29,Guatemala,6.454,6.567,6.341,2.894,0.872,1.256,0.540,0.531,0.283,0.077,1.85
30,Panama,6.452,6.557,6.347,2.307,1.234,1.373,0.706,0.550,0.211,0.071,1.85
31,France,6.442,6.516,6.368,2.006,1.431,1.388,0.844,0.470,0.130,0.173,1.85
32,Thailand,6.424,6.509,6.339,2.040,1.128,1.426,0.647,0.580,0.572,0.032,1.85
33,Taiwan Province of China,6.422,6.495,6.349,2.127,1.434,1.385,0.794,0.361,0.258,0.064,1.85
34,Spain,6.403,6.471,6.335,1.928,1.384,1.532,0.889,0.409,0.190,0.071,1.85
35,Qatar,6.375,6.568,6.182,1.145,1.871,1.274,0.710,0.604,0.330,0.439,1.85
