Run #;Collection Sort;Merge Sort;Quick Sort;Using Method calls for this run
0;19020260;21662104;20757680
1;16917840;21830784;20957576
2;16140272;17099892;13144824
Run #;Collection Sort;Merge Sort;Quick Sort;Using Method calls for this run
0;18896292;21220564;19315704
1;14979848;24581564;16663276
2;15552288;27484108;26682104
3;18217872;28469296;16611372
4;14651244;24075504;16471920
5;14585976;26786124;16645356
6;14460020;23911240;16276748
7;14635720;20916432;20784328
8;14384888;18586056;20849980
9;14751832;19135952;14574436
10;14699704;17735240;20311956
11;14483832;21497576;20501436
12;14775092;18105520;14672868
13;14921196;17671512;18454172
14;14626656;18215688;13921336
15;16975752;19669652;11714100
16;16576296;12436088;11618036
17;16253720;14858188;11858416
18;17095192;12524392;14646436
19;16553408;13012524;11585904
20;15541424;12629176;11661588
21;14790000;15281316;11909688
22;14929232;12485700;14811128
23;15067744;12300352;11813460
24;15096540;13063376;11643732
25;14849636;15489052;11784080
26;15016300;12856596;14738140
27;15199604;12620404;12077356
28;14983040;12644756;11602824
29;15163296;15369084;11883424
30;15761136;12700048;15829432
31;15232520;12635248;12378704
32;15011572;12844952;11930928
33;15813568;15572104;13515988
34;16230988;12552460;14803800
35;15249336;12419588;11763556
36;15554708;13990304;11646532
37;14925696;15581088;12194804
38;15111176;12483008;14706176
39;15189952;13165364;12230440
40;16064844;13429044;11677516
41;16236264;15226504;12025880
42;14933632;12563352;14880408
43;15061344;12567792;11789780
44;15192304;13241284;11840376
45;15381244;15458396;12177392
46;15100604;12898800;14876652
47;15136504;12603172;11807200
48;15249408;12891468;11867952
49;15360076;15654992;12159400
50;15481012;12971456;14852820
51;15380408;12609664;11984516
52;15515040;13142496;11878824
53;15069896;15369764;12485072
54;15207164;12602236;14889556
55;15266216;12917752;11869080
56;15277548;13015312;11911524
57;15268236;15411152;12135544
58;16205908;14151760;15173056
59;15195328;12683600;12365916
60;15514676;13476864;12403596
61;15179224;16032112;13237268
62;15287940;12608236;15130420
63;15673092;12744008;11701000
64;15920296;13106084;13136848
65;15323696;15956552;12772032
66;15501340;12764136;15039252
67;15209588;14059592;11897768
68;15861256;13615172;12093812
69;15253808;15752420;12760492
70;15300516;12880636;15133652
71;15129752;12843616;11727316
72;15457872;13236500;12559920
73;16070136;16112860;13179744
74;16077788;14719400;15233616
75;16309028;12791164;12737748
76;15371540;13041864;14359568
77;15468968;15378748;13611708
78;16795776;12961228;15450228
79;15384816;12727892;11888320
80;16146264;13474400;11839604
81;16009456;15947792;13512972
82;15484064;12855104;14965708
83;15704500;12944076;12190032
84;15861656;13183940;12902864
85;15619536;15400092;12434060
86;15462212;12885168;15117936
87;15305120;12824200;11933072
88;15476296;13560224;12027208
89;15369528;16538420;12241080
90;15551116;12682428;15201760
91;15424336;14017016;12035924
92;16133568;13582132;12788184
93;15349056;15508960;12363844
94;16265724;12764952;14900088
