Run #;Collection Sort;Merge Sort;Quick Sort
981;20083580;20542628;13410536
982;18527068;18790364;12256372
983;20212388;18923520;13268812
984;20345632;18092144;12439348
985;18602420;19048932;12629364
986;18651120;18525404;12424992
987;20972868;20951928;11554520
988;20022172;18934392;12979916
989;20134960;19015964;11946088
990;20265380;19488968;11850612
991;18113988;18049244;12284864
992;18438700;18402056;11925832
993;20004024;19465244;12027556
994;18289008;19249508;13718916
995;18102152;18067700;11961164
996;18293144;18864600;12606024
997;18479408;18387212;12996444
998;19441716;18155988;13147400
999;18934020;18684292;12838384
